system:index,changed_mean,changed_mode,degradation_mean,degradation_mode,lulc_2018_mean,lulc_2018_mode,lulc_2023_mean,lulc_2023_mode,net_change,recovery_mean,recovery_mode,.geo
"1057,500",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[94.95192553143342,44.915764205976075],[95.04175705984537,44.915764205976075],[95.04175705984537,45.005595734388024],[94.95192553143342,45.005595734388024],[94.95192553143342,44.915764205976075]]]}"
"1058,500",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[95.04175705984537,44.915764205976075],[95.13158858825733,44.915764205976075],[95.13158858825733,45.005595734388024],[95.04175705984537,45.005595734388024],[95.04175705984537,44.915764205976075]]]}"
"1279,500",0.0,0.0,,,4.0,4.0,4.0,4.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[114.8945248388868,44.915764205976075],[114.98435636729874,44.915764205976075],[114.98435636729874,45.005595734388024],[114.8945248388868,45.005595734388024],[114.8945248388868,44.915764205976075]]]}"
"1280,500",0.0,0.0,,,4.0,4.0,4.0,4.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[114.98435636729874,44.915764205976075],[115.0741878957107,44.915764205976075],[115.0741878957107,45.005595734388024],[114.98435636729874,45.005595734388024],[114.98435636729874,44.915764205976075]]]}"
"1057,501",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[94.95192553143342,45.005595734388024],[95.04175705984537,45.005595734388024],[95.04175705984537,45.09542726279998],[94.95192553143342,45.09542726279998],[94.95192553143342,45.005595734388024]]]}"
"1058,501",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[95.04175705984537,45.005595734388024],[95.13158858825733,45.005595734388024],[95.13158858825733,45.09542726279998],[95.04175705984537,45.09542726279998],[95.04175705984537,45.005595734388024]]]}"
"1059,501",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[95.13158858825733,45.005595734388024],[95.22142011666928,45.005595734388024],[95.22142011666928,45.09542726279998],[95.13158858825733,45.09542726279998],[95.13158858825733,45.005595734388024]]]}"
"1060,501",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[95.22142011666928,45.005595734388024],[95.31125164508123,45.005595734388024],[95.31125164508123,45.09542726279998],[95.22142011666928,45.09542726279998],[95.22142011666928,45.005595734388024]]]}"
"1061,501",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[95.31125164508123,45.005595734388024],[95.40108317349318,45.005595734388024],[95.40108317349318,45.09542726279998],[95.31125164508123,45.09542726279998],[95.31125164508123,45.005595734388024]]]}"
"1062,501",0.0,0.0,,,7.0,7.0,7.0,7.0,0,,,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[95.40108317349318,45.005595734388024],[95.49091470190513,45.005595734388024],[95.49091470190513,45.09542726279998],[95.40108317349318,45.09542726279998],[95.40108317349318,45.005595734388024]]]}"
